Id,Unnamed: 0,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,TotalBaths
583,582,0,No Alley,3,Duplex,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,No Fence,3.4429619746497666,0,CBlock,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,816,GasA,3,SFoyer,3.0,Lvl,Gtl,11841,Inside,81.0,Reg,90,RL,104.0,BrkFace,No Shed,5,Edwards,1,5,6,Y,0,CompShg,Gable,Normal,11.682668239557323,WD,0,Grvl,5,0,1990,1990,2007,1632.0,2.0
584,583,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Artery,PosA,SBrkr,0,5,5,Wd Sdng,Wd Sdng,No Fence,4.0,1,BrkTil,Typ,880.0,2.0,3.0,Unf,4.0,Detchd,1988.0,2775,GasA,4,2.5Unf,4.0,Lvl,Gtl,13500,Inside,75.0,Reg,75,RM,0.0,None,No Shed,7,OldTown,1,9,10,Y,0,CompShg,Gable,Normal,12.691580461311874,WD,0,Pave,9,1,1893,2000,2008,4012.0,3.5
585,584,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,1,3,3,AsbShng,AsbShng,No Fence,3.4429619746497666,0,BrkTil,Typ,240.0,1.0,3.0,Unf,3.0,Detchd,1935.0,1573,GasA,5,1.5Fin,4.0,Lvl,Gtl,6120,Inside,51.0,Reg,50,RM,0.0,None,No Shed,7,BrkSide,0,7,4,Y,0,CompShg,Gable,Normal,11.79810440720389,WD,1,Pave,6,0,1935,1995,2009,2457.0,1.0
586,585,0,No Alley,2,1Fam,3.0,4.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,2,PConc,Typ,880.0,3.0,3.0,RFn,3.0,Attchd,2005.0,2028,GasA,5,1Story,4.0,Lvl,Gtl,11443,Inside,88.0,Reg,20,RL,208.0,BrkFace,No Shed,3,Timber,1,5,8,Y,0,CompShg,Hip,Partial,12.820987977820545,New,0,Pave,7,1,2005,2006,2006,3896.0,3.0
587,586,0,No Alley,2,1Fam,4.0,2.0,Rec,3.0,Y,RRAn,Norm,SBrkr,1,4,3,Stucco,Wd Shng,MnWw,3.4429619746497666,0,BrkTil,Typ,275.0,1.0,3.0,Fin,3.0,Detchd,1961.0,838,GasA,5,1Story,2.0,Lvl,Gtl,10267,Inside,55.0,Reg,30,RL,0.0,None,No Shed,5,BrkSide,0,7,6,N,0,CompShg,Gable,Normal,11.77528972943772,WD,0,Pave,5,0,1918,2000,2008,1654.0,2.0
588,587,0,No Alley,2,1Fam,3.0,3.0,ALQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,No Fence,3.4429619746497666,0,CBlock,Typ,528.0,2.0,3.0,Unf,3.0,Detchd,1996.0,860,GasA,3,SFoyer,3.0,Lvl,Gtl,8740,Inside,74.0,IR1,85,RL,0.0,None,No Shed,7,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,11.827736204810266,WD,0,Pave,4,0,1982,1982,2009,1700.0,2.0
589,588,0,No Alley,1,1Fam,3.0,4.0,GLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,4.0,2,CBlock,Typ,452.0,1.0,3.0,Unf,3.0,Attchd,1968.0,1473,GasA,5,1Story,5.0,Low,Sev,25095,Inside,65.0,IR1,20,RL,0.0,None,No Shed,6,ClearCr,1,8,5,Y,0,Tar&Grv,Flat,Partial,11.870599909242046,WD,1,Pave,5,0,1968,2003,2009,2910.0,3.0
590,589,0,No Alley,2,1Fam,3.0,1.0,Unf,3.0,Y,RRAn,Feedr,FuseA,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,BrkTil,Typ,308.0,1.0,3.0,Unf,3.0,Detchd,1988.0,935,GasA,3,1Story,3.0,Lvl,Gtl,9100,Inside,50.0,Reg,40,RM,0.0,None,Shed,8,BrkSide,0,6,5,P,0,CompShg,Gable,Normal,11.283512300642426,WD,0,Pave,4,0,1930,1960,2008,1521.0,1.0
591,590,0,No Alley,3,1Fam,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,520.0,2.0,3.0,RFn,3.0,Attchd,2004.0,1582,GasA,5,2Story,4.0,Lvl,Gtl,8320,Inside,64.0,Reg,60,RL,0.0,None,No Shed,9,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.132964173709535,WD,0,Pave,6,0,2004,2004,2008,2352.0,2.5
592,591,0,No Alley,3,1Fam,3.0,4.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,5,CemntBd,CmentBd,No Fence,4.0,1,PConc,Typ,842.0,3.0,3.0,RFn,3.0,BuiltIn,2008.0,2296,GasA,5,2Story,5.0,Lvl,Gtl,13478,Corner,97.0,IR1,60,RL,420.0,Stone,No Shed,6,NridgHt,1,5,10,Y,0,CompShg,Gable,Normal,13.021326833226555,ConLI,0,Pave,10,1,2008,2008,2009,4018.0,3.5
593,592,0,No Alley,2,1Fam,4.0,1.0,GLQ,3.0,Y,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,No Fence,3.4429619746497666,0,PConc,Typ,816.0,2.0,3.0,Fin,3.0,Detchd,1985.0,816,GasA,5,1Story,3.0,Lvl,Gtl,6600,Inside,60.0,Reg,20,RL,0.0,None,No Shed,6,Mitchel,0,8,5,Y,0,CompShg,Gable,Normal,11.83500896413934,WD,0,Pave,4,0,1982,2003,2008,1632.0,2.0
594,593,0,No Alley,1,TwnhsE,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,420.0,2.0,3.0,Fin,3.0,Attchd,2003.0,848,GasA,5,1Story,4.0,Lvl,Gtl,4435,Inside,70.0,Reg,120,RM,170.0,BrkFace,No Shed,5,CollgCr,0,5,6,Y,0,CompShg,Gable,Normal,11.849397701591439,WD,0,Pave,4,1,2003,2003,2009,1696.0,2.0
595,594,0,No Alley,3,1Fam,3.0,1.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.4429619746497666,0,CBlock,Typ,280.0,1.0,3.0,Unf,3.0,Detchd,1981.0,924,GasA,3,1Story,3.0,Lvl,Gtl,7990,Inside,88.0,IR1,20,RL,0.0,None,No Shed,4,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,11.608235644774554,WD,0,Pave,5,0,1975,1975,2008,1848.0,1.0
596,595,0,No Alley,3,1Fam,3.0,4.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,Other,No Fence,3.0,1,PConc,Typ,758.0,3.0,3.0,Fin,3.0,Attchd,2005.0,1826,GasA,5,1Story,4.0,Lvl,Gtl,11302,Inside,69.0,IR1,20,RL,238.0,BrkFace,No Shed,8,StoneBr,1,5,8,Y,0,CompShg,Gable,Partial,12.672946381766982,New,1,Pave,7,1,2005,2006,2006,3640.0,3.0
597,596,0,Grvl,3,1Fam,3.0,1.0,Unf,3.0,N,Norm,Norm,FuseA,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,CBlock,Typ,216.0,1.0,2.0,Unf,3.0,Detchd,1930.0,1368,GasA,5,2Story,3.0,Lvl,Gtl,3600,Inside,60.0,Reg,70,RM,0.0,None,No Shed,10,OldTown,1,7,6,N,0,CompShg,Gable,Normal,11.648365035864053,WD,0,Pave,7,0,1910,1993,2006,2052.0,1.0
598,597,0,No Alley,2,TwnhsE,3.0,3.0,Unf,5.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,648.0,3.0,3.0,Fin,3.0,Attchd,2006.0,1402,GasA,5,1Story,4.0,Lvl,Gtl,3922,Inside,53.0,Reg,120,RL,72.0,BrkFace,No Shed,2,Blmngtn,1,5,7,Y,0,CompShg,Gable,Partial,12.17664898415669,New,0,Pave,7,1,2006,2007,2007,2660.0,2.0
599,598,0,No Alley,3,1Fam,3.0,2.0,ALQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,Plywood,Plywood,No Fence,3.0,1,CBlock,Typ,621.0,2.0,3.0,Fin,3.0,Attchd,1977.0,1647,GasA,5,1Story,4.0,Bnk,Gtl,12984,Inside,80.0,Reg,20,RL,459.0,BrkFace,No Shed,3,Crawfor,0,6,5,Y,0,CompShg,Gable,Normal,12.289954129510875,WD,0,Pave,7,0,1977,1977,2006,3077.0,3.0
600,599,0,No Alley,3,Twnhs,3.0,1.0,LwQ,4.0,Y,Norm,Norm,SBrkr,0,4,3,MetalSd,MetalSd,GdPrv,3.0,1,CBlock,Typ,452.0,2.0,3.0,Fin,3.0,Attchd,1980.0,1556,GasA,3,2Story,3.0,Lvl,Gtl,1950,Inside,24.0,Reg,160,RM,0.0,None,No Shed,7,Blueste,0,6,6,Y,0,CompShg,Gable,Normal,11.925035115797062,COD,0,Pave,6,1,1980,1980,2008,2272.0,3.5
601,600,0,No Alley,3,1Fam,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,736.0,2.0,3.0,Fin,3.0,BuiltIn,2003.0,1904,GasA,5,2Story,5.0,Lvl,Gtl,10927,Inside,74.0,Reg,60,RL,280.0,BrkFace,No Shed,6,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.524526376648707,WD,0,Pave,8,1,2005,2005,2006,2962.0,3.5
602,601,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,No Fence,4.0,1,PConc,Typ,544.0,1.0,3.0,Unf,3.0,Detchd,1979.0,1375,GasA,3,1.5Fin,4.0,Bnk,Gtl,9000,Inside,50.0,Reg,50,RM,0.0,None,No Shed,12,IDOTRR,1,6,6,P,0,CompShg,Gable,Normal,11.856515169360303,WD,1,Pave,6,0,1937,1950,2007,2155.0,1.5
603,602,0,No Alley,3,1Fam,3.0,2.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,HdBoard,HdBoard,No Fence,3.0,1,PConc,Typ,506.0,2.0,3.0,Fin,3.0,Attchd,1992.0,1915,GasA,5,2Story,4.0,Lvl,Gtl,10041,Inside,80.0,IR1,60,RL,0.0,None,No Shed,2,SawyerW,1,5,8,Y,0,CompShg,Gable,Abnorml,12.3013828253345,WD,0,Pave,8,1,1992,1992,2006,2823.0,3.5
604,603,0,Pave,2,TwnhsE,3.0,1.0,Unf,4.0,Y,Norm,Norm,SBrkr,0,3,4,MetalSd,MetalSd,No Fence,3.4429619746497666,0,PConc,Typ,480.0,2.0,3.0,RFn,3.0,Detchd,2004.0,1200,GasA,5,2Story,4.0,Lvl,Gtl,3182,Inside,30.0,Reg,160,FV,0.0,None,No Shed,6,Somerst,1,5,7,Y,0,CompShg,Gable,Normal,11.925035115797062,WD,0,Pave,4,0,2004,2005,2010,1800.0,2.5
605,604,0,No Alley,3,1Fam,3.0,2.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.0,1,PConc,Typ,530.0,2.0,3.0,RFn,3.0,Attchd,2002.0,1494,GasA,5,1Story,4.0,Lvl,Gtl,12803,Inside,88.0,IR1,20,RL,99.0,BrkFace,No Shed,9,CollgCr,1,5,7,Y,0,CompShg,Gable,Normal,12.30591798049989,WD,0,Pave,6,1,2002,2002,2008,2988.0,3.0
606,605,0,No Alley,3,1Fam,3.0,1.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,No Fence,2.0,3,CBlock,Typ,486.0,2.0,3.0,Unf,3.0,Attchd,1965.0,1986,GasA,3,2Story,3.0,Lvl,Gtl,13600,Inside,85.0,Reg,60,RL,176.0,BrkFace,No Shed,10,NAmes,1,6,7,Y,0,CompShg,Gable,Normal,12.230765258120543,WD,1,Pave,7,0,1965,1990,2009,2754.0,2.5
607,606,0,No Alley,3,1Fam,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,GdPrv,3.4429619746497666,0,PConc,Typ,576.0,2.0,3.0,Unf,3.0,Detchd,2000.0,1040,GasA,4,1Story,4.0,Low,Mod,12464,Corner,82.0,IR2,20,RL,0.0,None,No Shed,11,CollgCr,0,5,5,Y,0,CompShg,Gable,Normal,11.931635799828413,WD,0,Pave,6,1,1996,1996,2009,2080.0,2.0
608,607,0,No Alley,3,1Fam,4.0,1.0,GLQ,3.0,Y,Norm,Norm,SBrkr,0,4,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,CBlock,Typ,230.0,1.0,3.0,Unf,3.0,Attchd,1948.0,2008,GasA,5,2Story,5.0,Bnk,Mod,7800,Inside,78.0,Reg,20,RL,0.0,None,No Shed,8,Edwards,0,8,5,Y,0,CompShg,Gable,Normal,12.323855681186556,WD,0,Pave,8,1,1948,2002,2006,2904.0,4.0
609,608,0,No Alley,4,1Fam,3.0,2.0,BLQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,BrkFace,Wd Sdng,No Fence,4.0,2,PConc,Typ,380.0,2.0,3.0,Unf,3.0,Basment,1934.0,3194,GasA,3,2Story,3.0,HLS,Mod,12168,Inside,78.0,Reg,70,RL,0.0,None,No Shed,9,Crawfor,0,6,8,Y,0,CompShg,Gable,Alloca,12.791356180214176,WD,0,Pave,10,0,1934,1998,2007,4159.0,2.5
610,609,0,No Alley,3,1Fam,3.0,2.0,Rec,3.0,Y,Feedr,Norm,SBrkr,1,2,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,CBlock,Typ,261.0,1.0,3.0,Unf,3.0,Attchd,1961.0,1029,GasA,4,1Story,3.0,Lvl,Gtl,7943,Inside,61.0,Reg,20,RL,192.0,BrkCmn,No Shed,4,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,11.682668239557323,WD,0,Pave,5,1,1961,1961,2007,2058.0,2.0
611,610,0,No Alley,3,1Fam,3.0,2.0,GLQ,5.0,Y,PosN,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,5.0,2,PConc,Typ,736.0,3.0,3.0,Fin,3.0,Attchd,2000.0,2153,GasA,5,2Story,5.0,Lvl,Gtl,11050,Inside,70.0,Reg,60,RL,204.0,BrkFace,No Shed,5,CollgCr,1,5,9,Y,0,CompShg,Hip,Normal,12.65395846952229,WD,0,Pave,8,1,2000,2000,2009,3593.0,3.5
612,611,0,No Alley,3,1Fam,3.0,3.0,ALQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,MnPrv,3.0,1,CBlock,Typ,564.0,2.0,3.0,Unf,3.0,Attchd,1978.0,1032,GasA,3,SLvl,3.0,Lvl,Gtl,10395,FR2,80.0,IR1,80,RL,233.0,BrkFace,Shed,7,NWAmes,0,6,6,Y,0,CompShg,Gable,Normal,11.904967552746253,WD,0,Pave,6,0,1978,1978,2007,2064.0,2.5
613,612,0,No Alley,3,1Fam,3.0,3.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,3.0,1,PConc,Typ,531.0,2.0,3.0,RFn,3.0,BuiltIn,2001.0,1872,GasA,5,2Story,5.0,Lvl,Gtl,11885,Inside,70.0,Reg,60,RL,108.0,BrkFace,No Shed,11,CollgCr,1,5,8,Y,0,CompShg,Gable,Normal,12.474189562487116,WD,0,Pave,7,1,2001,2001,2009,3171.0,3.5
614,613,0,No Alley,3,1Fam,3.0,1.0,ALQ,4.0,Y,Feedr,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.4429619746497666,0,PConc,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,1120,GasA,5,1Story,3.0,Lvl,Gtl,8402,Inside,70.0,Reg,20,RL,0.0,None,No Shed,12,Mitchel,1,5,5,Y,0,CompShg,Gable,Partial,11.898187865760873,New,0,Pave,6,0,2007,2007,2007,2240.0,1.0
615,614,0,No Alley,1,TwnhsE,3.0,3.0,LwQ,4.0,Y,Norm,Norm,SBrkr,0,3,3,CemntBd,CmentBd,No Fence,3.4429619746497666,0,CBlock,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,630,GasA,5,SFoyer,3.0,Lvl,Gtl,1491,Inside,21.0,Reg,180,RM,0.0,None,No Shed,5,MeadowV,1,6,4,Y,0,CompShg,Gable,Normal,11.231887935237117,WD,0,Pave,3,1,1972,1972,2010,1260.0,2.0
616,615,0,No Alley,3,1Fam,3.0,4.0,GLQ,3.0,Y,Feedr,Norm,SBrkr,0,4,3,MetalSd,MetalSd,MnPrv,3.4429619746497666,0,PConc,Typ,480.0,2.0,3.0,RFn,3.0,Attchd,1963.0,1054,GasA,5,SFoyer,4.0,Lvl,Gtl,8800,Inside,80.0,Reg,85,RL,156.0,BrkFace,No Shed,5,NAmes,0,7,6,Y,0,CompShg,Gable,Abnorml,11.831379196088765,WD,0,Pave,6,1,1963,1963,2010,1990.0,2.0
617,616,0,No Alley,3,1Fam,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,393.0,2.0,3.0,Fin,3.0,Attchd,2002.0,1509,GasA,5,2Story,4.0,Lvl,Gtl,7861,Inside,64.0,IR1,60,RL,0.0,None,No Shed,6,Gilbert,1,5,6,Y,0,CompShg,Gable,Normal,12.118333731222167,WD,0,Pave,7,1,2002,2003,2006,2292.0,3.5
618,617,0,No Alley,2,1Fam,3.0,1.0,Unf,3.0,Y,Artery,Norm,SBrkr,0,3,3,MetalSd,MetalSd,No Fence,3.4429619746497666,0,CBlock,Typ,528.0,2.0,3.0,Unf,3.0,Detchd,1962.0,832,GasA,4,1.5Unf,4.0,HLS,Mod,7227,Corner,59.0,Reg,45,RL,0.0,None,No Shed,6,NAmes,0,6,6,Y,0,CompShg,Gable,Normal,11.56646623189826,WD,0,Pave,4,0,1954,1954,2008,1664.0,1.0
619,618,0,No Alley,3,1Fam,3.0,3.0,GLQ,5.0,Y,Norm,Norm,SBrkr,0,3,5,CemntBd,CmentBd,No Fence,4.0,1,PConc,Typ,774.0,3.0,3.0,Unf,3.0,Attchd,2007.0,1828,GasA,5,1Story,4.0,Lvl,Gtl,11694,Inside,90.0,Reg,20,RL,452.0,BrkFace,No Shed,7,NridgHt,1,5,9,Y,0,CompShg,Hip,Partial,12.659734090733716,New,1,Pave,9,0,2007,2007,2007,3650.0,2.0
620,619,0,No Alley,4,1Fam,3.0,4.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,2,PConc,Typ,749.0,3.0,3.0,Fin,3.0,Attchd,2003.0,2262,GasA,5,2Story,4.0,Lvl,Gtl,12244,Inside,85.0,Reg,60,RL,226.0,Stone,No Shed,8,Timber,0,5,8,Y,0,CompShg,Hip,Normal,12.628067055589547,WD,0,Pave,10,1,2003,2003,2008,3744.0,3.5
621,620,0,Grvl,2,1Fam,3.0,1.0,BLQ,3.0,N,Norm,Norm,FuseF,1,3,3,Stucco,Stucco,No Fence,3.4429619746497666,0,BrkTil,Typ,0.0,0.0,2.970652173913044,No Garage,2.96231884057971,No Garage,1978.1134057971012,864,GasA,3,1Story,3.0,Lvl,Gtl,8248,Inside,45.0,Reg,30,RL,0.0,None,No Shed,9,Edwards,0,3,3,N,0,CompShg,Gable,Normal,11.112447898373103,WD,0,Pave,5,0,1914,1950,2008,1728.0,2.0
622,621,0,No Alley,4,1Fam,3.0,1.0,ALQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,HdBoard,HdBoard,No Fence,3.0,1,CBlock,Typ,624.0,2.0,3.0,RFn,3.0,Attchd,1974.0,2614,GasA,3,2Story,3.0,Lvl,Gtl,10800,Inside,90.0,Reg,60,RL,0.0,None,No Shed,6,NWAmes,1,7,6,Y,0,CompShg,Gable,Normal,12.388394202324125,WD,0,Pave,9,1,1974,1997,2008,4136.0,2.5
623,622,0,No Alley,3,1Fam,3.0,1.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Plywood,Plywood,No Fence,3.4429619746497666,0,CBlock,Typ,484.0,2.0,3.0,Unf,3.0,Detchd,1986.0,980,GasA,3,1Story,3.0,Lvl,Gtl,7064,Inside,71.0,Reg,20,RL,153.0,BrkFace,No Shed,7,Sawyer,0,6,5,Y,0,CompShg,Gable,Normal,11.813030057420569,WD,0,Pave,6,1,1977,1977,2009,1960.0,1.0
624,623,0,No Alley,2,TwnhsE,3.0,1.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,MetalSd,MetalSd,No Fence,3.0,1,PConc,Typ,440.0,2.0,3.0,Unf,3.0,Detchd,2000.0,1512,GasA,5,2Story,4.0,Lvl,Gtl,2117,Inside,72.5,Reg,160,FV,513.0,BrkFace,No Shed,6,Somerst,1,5,6,Y,0,CompShg,Gable,Normal,12.034691028774553,WD,0,Pave,4,0,2000,2000,2007,2268.0,2.5
625,624,0,No Alley,4,1Fam,3.0,1.0,Rec,3.0,Y,Norm,Norm,SBrkr,0,3,3,VinylSd,VinylSd,No Fence,3.0,1,CBlock,Min2,484.0,2.0,3.0,RFn,3.0,Attchd,1972.0,1790,GasA,4,2Story,3.0,Lvl,Gtl,10400,Inside,80.0,Reg,60,RL,288.0,None,No Shed,11,NWAmes,0,5,6,Y,0,CompShg,Gable,Normal,12.014609430818934,WD,1,Pave,8,1,1972,1972,2006,2522.0,3.0
626,625,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,Typ,440.0,2.0,3.0,Unf,3.0,Attchd,1962.0,1116,GasA,3,1Story,3.0,Lvl,Gtl,10000,Corner,87.0,IR1,20,RL,261.0,BrkFace,No Shed,2,NAmes,0,6,6,Y,0,CompShg,Hip,Normal,11.982929094215965,WD,1,Pave,5,0,1962,1962,2010,2232.0,1.5
627,626,0,No Alley,3,1Fam,3.0,1.0,Unf,3.0,Y,Norm,Norm,SBrkr,1,3,3,Wd Sdng,Wd Sdng,GdWo,3.0,1,CBlock,Min1,286.0,1.0,3.0,RFn,3.0,Attchd,1960.0,1422,GasA,3,1Story,3.0,Lvl,Gtl,12342,Inside,73.0,IR1,20,RL,0.0,None,Shed,8,NAmes,0,5,5,Y,0,CompShg,Hip,Normal,11.848683160653572,WD,0,Pave,6,0,1960,1978,2007,2400.0,1.0
628,627,0,No Alley,3,1Fam,3.0,3.0,BLQ,3.0,Y,Norm,Norm,SBrkr,1,3,3,AsbShng,AsbShng,No Fence,4.0,2,CBlock,Typ,364.0,1.0,3.0,RFn,3.0,Basment,1955.0,1520,GasA,5,SLvl,3.0,Lvl,Gtl,9600,Inside,80.0,Reg,80,RL,164.0,BrkFace,No Shed,3,NAmes,0,6,6,Y,0,CompShg,Gable,Normal,11.938193200374572,WD,0,Pave,7,0,1955,1972,2010,2676.0,2.0
629,628,0,No Alley,5,1Fam,3.0,3.0,Rec,4.0,Y,Norm,Norm,SBrkr,0,3,3,Plywood,Plywood,No Fence,3.0,2,PConc,Typ,504.0,2.0,3.0,Unf,3.0,Attchd,1969.0,2080,GasA,3,2Story,2.0,HLS,Sev,11606,Inside,70.0,IR1,60,RL,192.0,BrkFace,No Shed,9,NAmes,0,5,5,Y,0,CompShg,Gable,Family,11.813030057420569,WD,0,Pave,9,1,1969,1969,2007,3120.0,2.5
630,629,0,No Alley,3,1Fam,3.0,4.0,GLQ,3.0,Y,Feedr,Norm,SBrkr,0,3,3,Plywood,Wd Sdng,GdPrv,3.4429619746497666,0,CBlock,Typ,520.0,2.0,3.0,RFn,3.0,Attchd,1964.0,1350,GasA,3,SLvl,3.0,Lvl,Gtl,9020,Corner,82.0,Reg,80,RL,259.0,BrkFace,No Shed,6,NAmes,0,5,6,Y,0,WdShngl,Gable,Normal,12.034691028774553,WD,0,Pave,6,1,1964,1964,2008,2598.0,2.5
631,630,0,Grvl,3,1Fam,2.0,1.0,Unf,2.0,Y,Artery,Norm,FuseA,1,3,3,VinylSd,VinylSd,MnPrv,3.4429619746497666,0,BrkTil,Typ,240.0,1.0,1.0,Unf,2.0,Detchd,1937.0,1750,GasA,3,2Story,5.0,Lvl,Gtl,9000,Corner,50.0,Reg,70,RM,0.0,None,No Shed,6,OldTown,0,6,5,N,0,CompShg,Gable,Abnorml,11.728036844587177,WD,0,Pave,8,0,1880,1991,2006,2386.0,1.0
632,631,0,No Alley,2,Twnhs,4.0,2.0,GLQ,4.0,Y,Norm,Norm,SBrkr,0,3,4,VinylSd,VinylSd,No Fence,4.0,1,PConc,Typ,627.0,2.0,3.0,RFn,3.0,Attchd,2006.0,1554,GasA,5,1Story,4.0,Lvl,Gtl,4590,Inside,34.0,Reg,120,RL,108.0,Stone,No Shed,8,NridgHt,1,5,8,Y,0,CompShg,Gable,Normal,12.252479018344332,WD,0,Pave,6,1,2006,2006,2007,3108.0,2.0
633,632,0,No Alley,3,1Fam,3.0,1.0,ALQ,3.0,Y,Norm,Norm,SBrkr,0,4,3,Plywood,Plywood,No Fence,3.0,1,CBlock,Typ,544.0,2.0,3.0,Fin,3.0,Attchd,1977.0,1411,GasA,3,1Story,3.0,Lvl,Gtl,11900,Inside,85.0,Reg,20,RL,209.0,BrkFace,No Shed,4,NWAmes,0,5,7,Y,0,CompShg,Hip,Family,11.320553572322774,WD,0,Pave,6,1,1977,1977,2009,2797.0,2.0
634,633,0,No Alley,3,1Fam,3.0,1.0,BLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Wd Sdng,Wd Sdng,No Fence,3.4429619746497666,0,CBlock,Typ,260.0,1.0,3.0,Unf,3.0,Attchd,1954.0,1056,GasA,3,1Story,3.0,Lvl,Gtl,9250,Corner,80.0,Reg,20,RL,0.0,None,No Shed,7,NAmes,0,7,5,Y,0,CompShg,Gable,Normal,11.84510277730856,WD,0,Pave,6,1,1954,2005,2007,2112.0,1.5
635,634,0,No Alley,0,Duplex,3.0,1.0,GLQ,3.0,Y,Norm,Norm,SBrkr,0,3,3,Plywood,Plywood,GdPrv,3.4429619746497666,0,CBlock,Typ,576.0,2.0,3.0,Unf,3.0,Detchd,1980.0,1056,GasA,4,SFoyer,3.0,Lvl,Gtl,6979,Inside,64.0,Reg,90,RL,0.0,None,Shed,6,OldTown,1,5,6,Y,0,CompShg,Gable,Normal,11.877568578558137,WD,0,Pave,4,1,1980,1980,2010,2112.0,2.0
