,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
326,327,120,RL,32.0,10846,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,4,GLQ,1719,GasA,5,Y,SBrkr,1719,0,1719,2,0,1,1,1,4,6,Typ,2,4,Attchd,1993.0,Fin,2,473,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,5,2008,Con,Normal,12.688498794774466
327,328,20,RL,80.0,11600,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,3,3,CBlock,3,3,1,Rec,1383,GasA,3,Y,SBrkr,1383,0,1383,0,0,1,1,3,3,7,Typ,0,3.461038961038961,Attchd,1960.0,RFn,1,292,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,4,2006,WD,Normal,11.886211674714158
328,329,75,RL,52.0,11888,Pave,Pave,IR1,Bnk,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,Unf,844,GasA,4,N,FuseA,1445,689,2134,0,0,2,0,5,4,10,Typ,0,3.461038961038961,Detchd,1930.0,Unf,2,441,3,3,Y,0,1,1,0,0,0,No Fence,No Shed,7,2009,WD,Normal,12.27606501735021
329,330,70,RM,60.0,6402,Pave,No Alley,Reg,Lvl,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,PConc,3,3,2,Unf,596,GasA,3,N,SBrkr,596,596,1192,0,0,1,0,3,3,6,Typ,0,3.461038961038961,Detchd,1920.0,Unf,1,189,2,2,N,0,0,1,0,0,0,GdWo,No Shed,7,2009,WD,Normal,11.26446410567173
330,331,90,RL,73.0,10624,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.0,3,3,CBlock,3,3,1,GLQ,1728,GasA,3,Y,SBrkr,1728,0,1728,0,1,2,0,6,3,10,Typ,0,3.461038961038961,Detchd,2002.0,Unf,1,352,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,11,2007,WD,Normal,11.686878772093667
331,332,20,RL,70.0,8176,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,Rec,1056,GasA,2,Y,SBrkr,1056,0,1056,1,0,1,0,3,3,6,Typ,0,3.461038961038961,Attchd,1958.0,RFn,1,308,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,11.842229212112828
332,333,20,RL,85.0,10655,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,4,3,PConc,4,3,1,GLQ,3206,GasA,5,Y,SBrkr,1629,0,1629,1,0,2,0,3,4,7,Typ,1,4,Attchd,2003.0,RFn,3,880,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,10,2009,WD,Normal,12.556729517143344
333,334,120,RM,59.0,8198,Pave,No Alley,Reg,Lvl,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,4,3,PConc,4,3,3,GLQ,1358,GasA,5,Y,SBrkr,1358,0,1358,1,0,2,0,2,4,6,Typ,1,4,Attchd,2004.0,RFn,2,484,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2008,WD,Normal,12.240474072247506
334,335,60,RL,59.0,9042,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,4,GLQ,943,GasA,4,Y,SBrkr,943,695,1638,1,0,2,1,3,3,7,Typ,2,3,Attchd,1998.0,Fin,2,472,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2008,WD,Normal,12.165250651009918
335,336,190,RL,85.0,164660,Grvl,No Alley,IR1,HLS,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,4,ALQ,1499,GasA,5,Y,SBrkr,1619,167,1786,2,0,2,0,3,3,7,Typ,2,4,Attchd,1965.0,Fin,2,529,3,3,Y,1,0,0,0,0,0,No Fence,Shed,8,2008,WD,Normal,12.341258918085241
336,337,20,RL,86.0,14157,Pave,No Alley,IR1,HLS,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,4,GLQ,1922,GasA,5,Y,SBrkr,1922,0,1922,1,0,2,0,3,4,8,Typ,1,4,Attchd,2005.0,Fin,3,676,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.841129801965447
337,338,20,RL,70.0,9135,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,3,GLQ,1536,GasA,5,Y,SBrkr,1536,0,1536,1,0,2,0,3,4,7,Typ,0,3.461038961038961,Attchd,2002.0,RFn,2,532,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.273731294003989
338,339,20,RL,91.0,14145,Pave,No Alley,Reg,Lvl,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,CBlock,4,3,2,ALQ,1208,GasA,5,Y,SBrkr,1621,0,1621,1,0,2,0,3,4,8,Typ,0,3.461038961038961,Attchd,1984.0,RFn,2,440,3,3,Y,1,1,0,0,0,0,No Fence,Shed,5,2006,WD,Normal,12.218495165528731
339,340,20,RL,66.0,12400,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,3,3,CBlock,3,2,1,Rec,1215,GasA,3,Y,FuseA,1215,0,1215,0,0,1,0,3,3,6,Typ,0,3.461038961038961,Attchd,1958.0,Unf,1,297,3,3,Y,0,0,0,0,1,0,No Fence,No Shed,6,2009,WD,Normal,11.951180395901384
340,341,60,RL,85.0,14191,Pave,No Alley,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,Unf,967,GasA,5,Y,SBrkr,993,915,1908,0,0,2,1,4,4,9,Typ,0,3.461038961038961,Attchd,2002.0,Fin,2,431,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,4,2010,WD,Normal,12.220468525813907
341,342,20,RH,60.0,8400,Pave,No Alley,Reg,Lvl,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,2,2,CBlock,3,2,1,Unf,721,GasA,4,Y,SBrkr,841,0,841,0,0,1,0,2,3,4,Typ,0,3.461038961038961,CarPort,1950.0,Unf,1,294,3,3,N,1,0,1,0,0,0,No Fence,No Shed,9,2009,WD,Normal,11.314474526246391
342,343,90,RL,73.0,8544,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,3,3,Slab,3.5797610681658467,3.011243851018974,1.6736990154711673,No Basement,0,Wall,2,N,FuseA,1040,0,1040,0,0,2,0,2,3,6,Typ,0,3.461038961038961,Detchd,1949.0,Unf,2,400,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,5,2006,WD,Normal,11.379394072345706
343,344,120,RL,63.0,8849,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,5,3,PConc,5,3,1,GLQ,1684,GasA,5,Y,SBrkr,1684,0,1684,0,0,2,0,2,5,6,Typ,1,5,Attchd,2005.0,RFn,2,564,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2008,WD,Normal,12.491251587763836
344,345,160,RM,36.0,2592,Pave,No Alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,1,Rec,536,GasA,3,Y,SBrkr,536,576,1112,0,0,1,1,3,3,4,Typ,0,3.461038961038961,Attchd,1976.0,Unf,1,336,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,4,2010,WD,Normal,11.350406535472453
345,346,50,RL,65.0,6435,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,Unf,972,GasA,4,Y,SBrkr,972,605,1577,0,0,1,0,3,2,6,Typ,1,4,Detchd,1939.0,Unf,1,312,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,10,2006,WD,Normal,11.850825253582627
346,347,20,RL,73.0,12772,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,BLQ,958,GasA,3,Y,SBrkr,958,0,958,0,0,1,0,2,3,5,Typ,0,3.461038961038961,Attchd,1960.0,RFn,1,301,3,3,Y,0,0,0,0,0,0,No Fence,Shed,4,2007,WD,Normal,11.928340903931561
347,348,20,RL,73.0,17600,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,3,3,CBlock,3,3,1,BLQ,1478,GasA,5,Y,FuseA,1478,0,1478,1,0,2,0,3,3,6,Typ,2,4,Attchd,1960.0,Unf,2,498,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,12,2009,WD,Normal,11.967180737247824
348,349,160,RL,36.0,2448,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,GLQ,764,GasA,5,Y,SBrkr,764,862,1626,1,0,2,1,2,4,6,Typ,0,3.461038961038961,BuiltIn,2003.0,RFn,2,474,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,10,2008,WD,Normal,11.944707881395766
349,350,60,RL,56.0,20431,Pave,No Alley,IR2,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,870.0,5,3,PConc,5,3,1,GLQ,1848,GasA,5,Y,SBrkr,1848,880,2728,1,0,2,1,4,5,10,Typ,2,5,Attchd,2006.0,Fin,3,706,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,4,2006,New,Partial,12.988040814744458
350,351,120,RL,68.0,7820,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,362.0,5,3,PConc,5,3,1,Unf,1869,GasA,5,Y,SBrkr,1869,0,1869,0,0,2,0,2,5,6,Typ,1,4,Attchd,2007.0,RFn,2,617,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2007,New,Partial,12.669998467265833
351,352,120,RL,80.0,5271,Pave,No Alley,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,4,3,4,GLQ,1453,GasA,4,Y,SBrkr,1453,0,1453,1,0,1,1,2,4,6,Typ,1,3,Attchd,1986.0,RFn,2,445,3,3,Y,0,1,0,0,1,0,No Fence,No Shed,12,2006,WD,Abnorml,12.154779351142624
352,353,50,RL,60.0,9084,Pave,No Alley,Reg,Lvl,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,2,2,LwQ,616,GasA,3,N,SBrkr,616,495,1111,0,1,1,0,3,3,5,Typ,0,3.461038961038961,Detchd,1941.0,Unf,1,200,3,2,Y,1,0,0,0,0,0,No Fence,No Shed,3,2008,ConLw,Normal,11.461632170582678
353,354,30,RM,60.0,8520,Pave,No Alley,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,BrkTil,3,3,1,Unf,624,GasA,4,Y,SBrkr,720,0,720,0,0,1,0,2,3,5,Typ,0,3.461038961038961,Detchd,2005.0,Unf,2,484,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.570250531589497
354,355,50,RL,60.0,8400,Pave,No Alley,Reg,Bnk,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,None,0.0,3,3,CBlock,3,3,1,LwQ,940,GasA,5,Y,SBrkr,1192,403,1595,0,0,1,0,2,3,6,Typ,2,4,Attchd,1940.0,Unf,1,240,3,3,Y,0,0,1,0,0,0,No Fence,No Shed,6,2006,WD,Normal,11.84939770159144
355,356,20,RL,105.0,11249,Pave,No Alley,IR2,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,4,4,1,ALQ,1200,GasA,5,Y,SBrkr,1200,0,1200,1,0,2,0,3,4,6,Typ,0,3.461038961038961,Attchd,1995.0,RFn,2,521,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,8,2007,WD,Normal,12.086725887897607
356,357,20,RL,65.0,9248,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,3,3,PConc,4,3,1,GLQ,1158,GasA,4,Y,SBrkr,1167,0,1167,1,0,2,0,3,4,6,Typ,0,3.461038961038961,Attchd,1992.0,RFn,2,400,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2009,WD,Normal,12.061046873479915
357,358,120,RM,44.0,4224,Pave,No Alley,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,ALQ,1142,GasA,3,Y,SBrkr,1142,0,1142,1,0,1,1,3,3,6,Typ,1,1,Attchd,1976.0,Fin,2,528,3,3,Y,1,1,0,0,0,0,MnPrv,No Shed,8,2007,WD,Normal,11.805595078933049
358,359,80,RL,92.0,6930,Pave,No Alley,IR1,Lvl,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,120.0,3,3,CBlock,3,3,3,BLQ,1062,GasA,5,Y,FuseF,1352,0,1352,0,1,1,0,3,4,6,Min2,0,3.461038961038961,BuiltIn,1958.0,Unf,1,288,3,3,Y,1,0,1,0,0,0,No Fence,No Shed,7,2006,WD,Abnorml,11.77528972943772
359,360,60,RL,78.0,12011,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,530.0,4,3,PConc,4,3,3,GLQ,1086,GasA,5,Y,SBrkr,1086,838,1924,1,0,2,1,3,4,7,Typ,1,3,Attchd,1998.0,RFn,2,592,3,3,Y,1,1,0,0,1,0,No Fence,No Shed,6,2006,WD,Normal,12.542544882151386
360,361,85,RL,73.0,7540,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,GLQ,888,GasA,5,Y,SBrkr,912,0,912,1,0,1,0,2,3,5,Typ,1,3,Attchd,1978.0,RFn,2,470,3,3,Y,0,0,0,0,1,0,MnPrv,No Shed,6,2007,WD,Normal,11.957611286231675
361,362,50,RL,52.0,9144,Pave,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,Rec,883,GasA,4,Y,SBrkr,988,517,1505,1,0,1,0,3,3,8,Typ,0,3.461038961038961,Detchd,1940.0,Unf,1,240,3,3,N,0,0,0,0,0,0,No Fence,No Shed,7,2008,WD,Normal,11.884489021402711
362,363,85,RL,64.0,7301,Pave,No Alley,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,3.5797610681658467,3.011243851018974,1.6736990154711673,No Basement,0,GasA,5,Y,SBrkr,495,1427,1922,0,0,3,0,4,4,7,Typ,1,5,BuiltIn,2003.0,RFn,2,672,3,3,Y,0,0,1,0,0,0,No Fence,No Shed,7,2009,ConLD,Normal,12.198544379109382
363,364,160,RM,21.0,1680,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,3,3,CBlock,3,3,1,ALQ,483,GasA,4,Y,SBrkr,483,504,987,0,0,1,1,2,4,5,Typ,0,3.461038961038961,Detchd,1972.0,Unf,1,264,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,5,2009,WD,Normal,11.678439903447801
364,365,60,RL,80.0,18800,Pave,No Alley,IR1,Lvl,FR2,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,3,3,PConc,4,3,2,GLQ,796,GasA,3,Y,SBrkr,790,784,1574,1,0,2,1,3,3,6,Typ,1,3,Attchd,1976.0,Fin,2,566,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2006,WD,Normal,12.154779351142624
365,366,70,RM,59.0,10690,Pave,No Alley,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,2,1,Rec,672,GasA,4,Y,FuseA,672,672,1344,0,0,1,0,3,3,6,Typ,0,3.461038961038961,Detchd,1964.0,Unf,1,468,3,2,Y,0,1,1,0,0,0,No Fence,No Shed,7,2009,WD,Normal,11.898187865760873
366,367,20,RL,73.0,9500,Pave,No Alley,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,1,BLQ,1394,GasA,4,Y,SBrkr,1394,0,1394,1,0,1,1,3,3,6,Typ,2,4,Attchd,1963.0,RFn,2,514,3,3,Y,0,1,0,0,1,0,No Fence,No Shed,7,2009,WD,Normal,11.976659481202368
367,368,80,RL,101.0,9150,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,BrkFace,305.0,3,3,CBlock,4,3,4,GLQ,1099,GasA,4,Y,SBrkr,1431,0,1431,0,1,1,0,3,3,6,Typ,1,4,Basment,1962.0,RFn,1,296,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2008,WD,Normal,12.013700752882718
368,369,20,RL,78.0,7800,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,3,3,PConc,3,3,1,LwQ,1268,GasA,4,Y,SBrkr,1268,0,1268,0,0,1,0,2,3,7,Typ,1,4,Attchd,1954.0,Fin,1,244,3,3,Y,0,1,0,0,0,0,No Fence,No Shed,3,2010,WD,Normal,11.790557201568507
369,370,20,RL,73.0,9830,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,3,3,1,ALQ,1063,GasA,5,Y,SBrkr,1287,0,1287,1,0,1,0,3,4,7,Typ,1,4,Detchd,1997.0,Fin,2,576,3,3,Y,1,1,0,0,1,0,No Fence,No Shed,3,2010,WD,Normal,11.99535161421452
370,371,60,RL,65.0,8121,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,Unf,953,GasA,5,Y,SBrkr,953,711,1664,0,0,2,1,3,3,7,Typ,1,3,Attchd,2000.0,RFn,2,460,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,1,2006,WD,Normal,12.05757263721173
371,372,50,RL,80.0,17120,Pave,No Alley,Reg,Lvl,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,CBlock,3.5797610681658467,3.011243851018974,1.6736990154711673,No Basement,0,GasA,3,Y,SBrkr,1120,468,1588,0,0,2,0,4,3,7,Min2,1,4,Detchd,1991.0,Fin,2,680,3,3,N,0,1,0,0,0,0,No Fence,No Shed,7,2008,WD,Normal,11.808813773969108
372,373,120,RL,50.0,7175,Pave,No Alley,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,ALQ,744,GasA,3,Y,SBrkr,752,0,752,1,0,1,0,2,3,4,Typ,0,3.461038961038961,Attchd,1984.0,Unf,1,264,3,3,Y,1,0,0,0,1,0,MnPrv,No Shed,2,2010,WD,Normal,11.736069016284437
373,374,20,RL,79.0,10634,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,1,BLQ,608,GasA,3,Y,SBrkr,1319,0,1319,1,0,1,0,3,3,5,Min2,0,3.461038961038961,Attchd,1953.0,Unf,1,270,3,3,Y,1,0,0,0,0,0,GdWo,No Shed,11,2009,WD,Normal,11.719939634354555
374,375,60,RL,65.0,8200,Pave,No Alley,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,Unf,847,GasA,5,Y,SBrkr,847,1081,1928,0,0,2,1,4,4,8,Typ,1,4,BuiltIn,2003.0,Fin,2,434,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,7,2007,WD,Normal,12.299107511497363
375,376,30,RL,65.5,10020,Pave,No Alley,IR1,Low,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,2,1,4,BLQ,683,GasA,4,N,FuseA,904,0,904,1,0,0,1,1,2,4,Maj1,0,3.461038961038961,No Garage,1978.5061638868744,No Garage,0,0,2.975344452501813,2.97389412617839,Y,0,0,0,0,0,0,No Fence,No Shed,3,2009,WD,Normal,11.018629143155449
376,377,85,RL,57.0,8846,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,GLQ,870,GasA,5,Y,SBrkr,914,0,914,0,0,1,0,2,3,5,Typ,0,3.461038961038961,Detchd,1998.0,Unf,2,576,3,3,Y,0,0,0,0,0,0,No Fence,No Shed,7,2006,WD,Normal,11.904967552746252
377,378,60,FV,102.0,11143,Pave,No Alley,IR1,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,Unf,1580,GasA,5,Y,SBrkr,1580,886,2466,0,0,3,0,4,4,8,Typ,1,4,Attchd,2004.0,RFn,2,610,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,12,2007,WD,Normal,12.736700896592344
378,379,20,RL,88.0,11394,Pave,No Alley,Reg,Lvl,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,3,GLQ,1856,GasA,5,Y,SBrkr,1856,0,1856,1,0,1,1,1,5,8,Typ,1,5,Attchd,2010.0,Fin,3,834,3,3,Y,1,0,0,0,0,0,No Fence,No Shed,6,2010,New,Partial,12.885202034321916
379,380,60,RL,60.0,8123,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,3,3,PConc,4,3,1,Unf,982,GasA,5,Y,SBrkr,1007,793,1800,0,0,2,1,3,3,7,Typ,1,3,Attchd,2000.0,Fin,2,463,3,3,Y,1,1,0,0,0,0,No Fence,No Shed,6,2009,WD,Normal,12.095141084822892
380,381,50,RL,50.0,5000,Pave,Pave,Reg,Lvl,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,LwQ,1026,GasA,3,Y,SBrkr,1026,665,1691,0,0,2,0,3,4,6,Typ,1,4,Detchd,1924.0,Unf,1,308,3,3,Y,0,0,1,0,0,0,No Fence,No Shed,5,2010,WD,Normal,11.751942365440728
